Name-CN,Name-EN,图标分类-CN,图标分类-EN,图标预览,图标标签,UI 设计负责人,预计完成时间
标记,mark,常用图标,Base,Flag.svg (https://dl.airtable.com/.attachments/8bfa18752650103fdb8da4384cd9c883/75abfbfb/Flag.svg),旗帜，旗子，记号，活动,齐 奉飞,2019-03-26
钱包,wallet,钱财,Money,wallet.svg (https://dl.airtable.com/.attachments/13cd4d948dff0f1b66615a9dadb82741/31b76625/wallet.svg),钱， 钱包 ，资金， 金融 ，充值,刘心乐,2019-03-21
消费,consume,常用图标,Base,consume.svg (https://dl.airtable.com/.attachments/7f9396b7c567bd24a30b37f383c00f06/07801ffd/consume.svg),总消耗，花钱，花费，钱,常留留 常,2019-05-30
清除,clear,常用图标,Base,clear.svg (https://dl.airtable.com/.attachments/19c197ae14a9348f703bda456ef6dc31/c41e5d26/clear.svg),删除，清除，擦除，扫把，清理,刘心乐,2019-03-22
搜索,search,常用图标,Base,search.svg (https://dl.airtable.com/.attachments/2d86e85ad43407ac78d0d61ad0096d8a/ecdd198c/search.svg),搜索，查找，放大镜,齐 奉飞,2019-03-21
缩小,zoom-out,常用图标,Base,zoom-out.svg (https://dl.airtable.com/.attachments/41a4e323f15219803d8ad1ba67c537ec/d42d56a9/zoom-out.svg),搜索，查找，缩小,齐 奉飞,2019-03-21
放大,zoom-in,常用图标,Base,zoom-in.svg (https://dl.airtable.com/.attachments/1720c880c9f17f1efa9bae4f477ccc20/148762c0/zoom-in.svg),搜索，查找，放大,齐 奉飞,2019-03-21
提示,tips-one,交流沟通,Communicate,tips.svg (https://dl.airtable.com/.attachments/09fcd24cab450d1c35961e4d708bf989/151f653a/tips.svg),信息提示，提示，警示，报错，提示信息，message,常留留 常,2019-11-22
报错,caution,常用图标,Base,caution.svg (https://dl.airtable.com/.attachments/1b76c0d6415638786ee3e556a12c854e/44dc5010/caution.svg),错误，警示，提示，报警,常留留 常,2019-11-22
提醒,remind,声音,Music,remind.svg (https://dl.airtable.com/.attachments/8ceae3b430268549252e830184319e50/9d88c629/remind.svg),提示，消息，警示，警钟，铃铛,常留留 常,2019-03-19
关闭提醒,close-remind,声音,Music,close-remind.svg (https://dl.airtable.com/.attachments/34f227d4dd953571717c04e30e7dd663/6e52e332/close-remind.svg),提示，消息，警示，警钟，铃铛，关闭，禁止提醒,常留留 常,2020-01-16
声音-大,column-notice,常用图标,Base,colume-notice.svg (https://dl.airtable.com/.attachments/3577ea27d46570cda737ec8c58b233cb/1a81a540/colume-notice.svg),音量，声音，喇叭，小声，广播,常留留 常,2019-03-19
声音-小,column-small,常用图标,Base,colume-small.svg (https://dl.airtable.com/.attachments/28171d27ed9c68fbfea22918864372b1/2067d375/colume-small.svg),音量，声音，喇叭，小声，广播,常留留 常,2019-03-19
静音,column-mute,常用图标,Base,colume-mute.svg (https://dl.airtable.com/.attachments/d6bebf2a63db5e0c8ab364e23bbe813a/37736fb4/colume-mute.svg),音量关闭，静音，声音，音量，喇叭，广播,常留留 常,2019-03-19
购物车,shopping-cart,钱财,Money,shopping-cart.svg (https://dl.airtable.com/.attachments/371c3d02cef95fa10edef963a1e594f4/e3abd476/shopping-cart.svg),购物，买东西，购物卡，消费,齐 奉飞,2019-05-27
添加购物车,shopping-cart-add,钱财,Money,shopping-cart-add.svg (https://dl.airtable.com/.attachments/91439523ca3a7c6ee22335f01d478fb8/2cd5e891/shopping-cart-add.svg),购物车，添加，买东西，购物,齐 奉飞,2019-05-27
删除购物车,shopping-cart-del,钱财,Money,shopping-cart-del.svg (https://dl.airtable.com/.attachments/b860d2ceb57de7e80a7e2af16183a5ef/4448eb48/shopping-cart-del.svg),购物车，退货，删除，移除,齐 奉飞,2019-05-27
汉堡图标,hamburger-button,常用图标,Base,hamburger-button.svg (https://dl.airtable.com/.attachments/7b5a482aafa9e383f2e346e511df21a8/70f57aef/hamburger-button.svg),导航，菜单，更多,齐 奉飞,2019-03-21
耳机,headset,常用图标,Base,headset.svg (https://dl.airtable.com/.attachments/b0ef4ac798ee7fa937e0ae2699e81e94/289bf2f2/headset.svg),耳麦，客服，耳机,齐 奉飞,2019-05-29
耳机,headset-one,常用图标,Base,headset2.svg (https://dl.airtable.com/.attachments/d21a978307fad85b1bb7a369d095ca00/10203fc2/headset2.svg),客服，二级，耳麦，服务,齐 奉飞,2019-05-29
